    step   jaccard  trend
     200     0.542  #####################
     300     0.570  ######################
     400     0.544  #####################
     500     0.599  #######################
     600     0.603  ########################
     700     0.602  ########################
     800     0.609  ########################
     900     0.594  #######################
    1000     0.610  ########################
    1100     0.612  ########################
    1200     0.601  ########################
    1300     0.599  #######################
    1400     0.614  ########################
    1500     0.611  ########################
    1600     0.607  ########################
    1700     0.610  ########################
    1800     0.606  ########################
    1900     0.613  ########################
    2000     0.611  ########################
    2100     0.592  #######################
    2200     0.610  ########################
    2300     0.612  ########################
    2400     0.616  ########################
    2500     0.611  ########################
    2600     0.590  #######################
    2700     0.608  ########################
    2800     0.612  ########################
    2900     0.612  ########################
    3000     0.597  #######################
    3100     0.616  ########################
    3200     0.616  ########################
    3300     0.611  ########################
    3400     0.613  ########################
    3500     0.600  ########################
    3600     0.610  ########################
    3700     0.612  ########################
    3800     0.608  ########################
    3900     0.597  #######################
    4000     0.612  ########################
    4100     0.612  ########################
    4200     0.609  ########################
    4300     0.593  #######################
    4400     0.612  ########################
    4500     0.613  ########################
    4600     0.611  ########################
    4700     0.597  #######################
    4800     0.616  ########################
    4900     0.614  ########################
    5000     0.615  ########################
    5100     0.615  ########################
    5200     0.597  #######################
    5300     0.615  ########################
    5400     0.579  #######################
    5500     0.544  #####################
    5600     0.530  #####################
    5700     0.566  ######################
    5800     0.565  ######################
    5900     0.579  #######################
    6000     0.580  #######################
    6100     0.593  #######################
    6200     0.597  #######################
    6300     0.596  #######################
    6400     0.594  #######################
    6500     0.590  #######################
    6600     0.604  ########################
    6700     0.607  ########################
    6800     0.604  ########################
    6900     0.595  #######################
    7000     0.603  ########################
    7100     0.608  ########################

first 0.542  last 0.608  best 0.616  floor 0.950  intervals held 70
VERDICT: PLATEAUED at ~0.603, floor 0.950 (half-series medians 0.610 -> 0.603). More time will not help. Either the collector window is too short for a top-K set to stabilise, or this model's routing is too flat for top-K to BE stable. Fix the mismatch; do NOT lower the floor to manufacture swaps.

swaps DECIDED: 64 across 71 intervals (decided != installed — check fq_swaps_applied_total for that)
